date,temperature,windspeed,event
2015-12-31,48.0,12.0,Rain
2015-12-30,46.0,7.0,Rain
2015-12-29,42.0,12.0,Rain
2015-12-28,42.0,14.0,Rain
2015-12-27,56.0,12.0,Fog
2015-12-26,,11.0,Rain
2015-12-25,58.0,2.0,Fog
2015-12-24,63.0,11.0,Fog
2015-12-23,56.0,10.0,Fog
2015-12-22,56.0,9.0,Rain
2015-12-21,47.0,12.0,Rain
2015-12-20,40.0,12.0,Fog
2015-12-19,39.0,20.0,Rain
2015-12-18,49.0,14.0,Rain
2015-12-17,55.0,,Rain
2015-12-16,49.0,9.0,Rain
2015-12-15,59.0,18.0,Rain
2015-12-14,,11.0,Fog
2015-12-13,62.0,7.0,Rain
2015-12-12,57.0,4.0,Rain
2015-12-11,52.0,,Fog
2015-12-10,54.0,7.0,Rain
2015-12-09,,8.0,Fog
2015-12-08,46.0,8.0,Rain
2015-12-07,48.0,8.0,Fog
2015-12-06,45.0,6.0,Fog
2015-12-05,44.0,5.0,Fog
2015-12-04,47.0,10.0,Rain
2015-12-03,51.0,16.0,Rain
2015-12-02,52.0,5.0,Fog
2015-12-01,50.0,11.0,Rain
